0;1
2021-04-29 15:18:47+00:00;@Infosys_nmurthy Good evening sir.  Request you to please invest in medical field.  Please start medical colleges in Telangana.
2021-04-29 15:16:19+00:00;"🗣Calling ALL Tech Leaders🗣

We’re researching IT modernization &amp; organizational transformation. If you or anyone you know has initiated &amp; or managed IT modernization efforts for public or private enterprises, we’d love to hear from you!

DM us for details! #Infosys #Infotech"
2021-04-29 15:13:07+00:00;"@Infosys session - ""Experience The Next: Roland-Garros And Infosys Applied AI To Reimagine Tennis"" @ai_ucl @uclcs @uclcs https://t.co/HBd0zhiP2R"
2021-04-29 15:09:10+00:00;@GST_Council @Infosys_GSTN @askGST_GoI @FinMinIndia @FinancialTimes @nsitharaman @nsitharamanoffc @ianuragthakur Are you guys serious?? Feeling regret why we voted for you. #gstdates @narendramodi @AmitShah @Swamy39
2021-04-29 15:08:19+00:00;"🙏🙏🙏
#कौन_सुनेगा_किसको_सुनाये Y @mygovindia is QUIET on #GST #GstAmnesty #DigitialFailure #extendduedate #EMI  #moratorium #moratorium3 @PMOIndia @rashtrapatibhvn @VPSecretariat @RBI @FinMinIndia @cbic_india @Infosys_GSTN @BJP4India @NCPspeaks @INCIndia @ShivSena @TOIIndiaNews https://t.co/d5hxWCSXq7"
2021-04-29 15:07:46+00:00;@parikh_pawan @Infosys_GSTN Vakil shab they don't care according to them ur fit and there is no corona 😀😀😀. U hv no choice..
2021-04-29 15:03:51+00:00;@Infosys_GSTN You guys should be ashamed..!! Public Yaad rakhegi next time vote Karne se pehle! #ExtendAllDueDatesImmediately @cbic_india @FinMinIndia @PMOIndia @nsitharaman
2021-04-29 15:03:38+00:00;"#कौन_सुनेगा_किसको_सुनाये Y 
@mygovindia @RBI
 is QUIET on #GST #GstAmnesty #DigitialFailure #extendduedate #EMI  #moratorium #moratorium3 
@PMOIndia @rashtrapatibhvn @VPSecretariat @FinMinIndia @cbic_india @Infosys_GSTN @BJP4India
@NCPspeaks @INCIndia @ShivSena https://t.co/RmPGwCNeKY"
2021-04-29 15:02:20+00:00;"INFOSYS

FY '10 Dividend - 3.14/Share
FY '21 Dividend - 26.80/Share

10 Years Dividend Growth 20%

Current Dividend Yield 2% at CMP 1356

Projecting this 20% Annual Dividend Growth for next 10 Years --&gt; 166/Share

This will be 12% Yield at cost

That's Dividend Growth Investing"
2021-04-29 15:00:02+00:00;Dinesh Rao, Infosys, discusses how Infosys has been at the forefront of building and rolling out a comprehensive ecosystem to create and manage #cloud applications. Read his interview in The Financial Express. https://t.co/OV7Xh20QSB #InfosysCobalt https://t.co/lxvDeY2Ebs
2021-04-29 14:47:56+00:00;@visshnumittal @wiprosoft We can just say 💎gem dont need recognition just respect for him and Mr tata and Mr Infosys naryan murti they are helping not bother about publicity that's how to help if u not able to meet these people go sikh gurudwara and eat langar their u will understand
2021-04-29 14:45:44+00:00;@Infosys_GSTN Shame.........no oxygen........no medicine......no hospital beds........no vaccine........but please pay GST on time......... follow all meaningless rules..........This is not India anyone wants!
2021-04-29 14:44:09+00:00;@TVMohandasPai @davidfrawleyved When it comes to hide our inefficiency, quote #USA then why not follow other examples where they excelled? This is how he worked at #Infosys ?another proof that in #India mostly shit-heads occupy high positions which resulted gutter like situation but who cares? We love the stink
2021-04-29 14:39:24+00:00;@Infosys_GSTN Useful videos
2021-04-29 14:38:34+00:00;"Infosys Limited current quarter revenue growth YoY of 9.10% ranked 1470 out of 5445 companies in our database. 

https://t.co/I3TMOt0SOL $INFY

🚀🚀🚀🚀🚀 https://t.co/SCzUOCMCfJ"
2021-04-29 14:33:27+00:00;@Infosys_GSTN Yes, we will choose correct one now and in 2024 too. Cruelness at its best. Open everything and we won't ask  extension. Client data is at office premise and can't open that due to lockdown and curfew. Heights of Stupidity. Extend compliance @PMOIndia @CNBCTV18Live @FinMinIndia
2021-04-29 14:21:57+00:00;@Infosys_GSTN Plase extension the date of gst return
2021-04-29 14:18:18+00:00;"@askGST_GoI @Infosys_GSTN @cbic_india @GST_Council @FinMinIndia @ianuragthakur @nsitharaman @Anurag_Office 
Kindly disclose the statics of Return filed compared to expected returns to be filed for the Due dates falling in the month of April 21.?"
2021-04-29 14:17:34+00:00;"@Infosys_GSTN @cbic_india Failure Goverment

Not even thinking of.present situation... they just concern about their monthly collectio  of taxes and opt in and opt out......"
2021-04-29 14:15:35+00:00;"@Infosys_GSTN @GST_Council so it has to be mentioned ""that it will be available in due course""...but you are mentioning that all returns have not been filed.why so?"
2021-04-29 14:13:40+00:00;@Infosys_GSTN @cbic_india Shame on you
2021-04-29 14:11:51+00:00;"@Infosys_GSTN lets swear to opt out this insane govt in next elections .
bus kar modi"
2021-04-29 14:11:37+00:00;@Infosys_GSTN All due dates of after April 10th should be postponed, lockdown , how to work ??
2021-04-29 14:11:28+00:00;@TheOfficialSBI @Infosys @TataCompanies @TataPower my flat available for rent 3 bhk https://t.co/jWXwSnEfhI
2021-04-29 14:10:35+00:00;@Infosys_GSTN @cbic_india Modi govt last date coming soon....
2021-04-29 14:09:56+00:00;"@Infosys_GSTN @cbic_india G- 202104294778741

Ticket number.
#we have talked to the jurisdictional officer his ID/Portal tells the number is ACTIVE but on assesse portal it’s suspended.

Could you please understand the urgency and get this corrected?"
2021-04-29 14:08:36+00:00;"@Infosys_GSTN @cbic_india They didn’t respond properly.
And on mail called it solved.
#please understand the urgency of this matter, not only will he be charged for accumulated late fee also the interest for returns to file.
We have raised another ticket"
2021-04-29 14:07:08+00:00;@Infosys_GSTN Do you think all assessees are following tweeter or daily monitoring portal to follow frequent changes of GST. It will be better to retain options followed by assessee rather changing it by system as it happened in January. Without our consent converted us  from monthly to  QRMP.
2021-04-29 14:06:38+00:00;@Infosys_GSTN This is most chutiya goverment never seen pagal finance minister
2021-04-29 14:05:32+00:00;@Infosys_GSTN @cbic_india Had hain
2021-04-29 14:02:49+00:00;@CAChirag @cbic_india @Infosys_GSTN @nsitharaman Interesting will be to see how many opt out of GST.    THere are small business houses and professionals who were under gst even if their turnover was below the specified limit.
2021-04-29 14:01:56+00:00;@cbic_india @Infosys_GSTN Supplier has given the invoice to recipient but wrongly shown transaction in B to C table of GSTR 1 instead of B to B.  Hence, transaction not appearing in my GSTR 2A or 2B. Supplier has filed 3B. What to do in this case? Please guide.
2021-04-29 14:01:09+00:00;@Infosys_GSTN @cbic_india lock down announcement made by State govt not CENTRAL GOVT. THATS WHY NO extension... LATE FEE ME PROFIT HAI BAI..
2021-04-29 13:58:50+00:00;Congratulations to Sukrut Jog, Assistant Manager, on completing 7 years with us.                                         #EmployeeExperience #Milestone #forwardwithinfosys #infosysbpm #infosys https://t.co/R3MLlXZCoB
2021-04-29 13:58:04+00:00;@Formula_ankit Exactly man. This man was director in Infosys. 😔
2021-04-29 13:57:41+00:00;For context, this man was director of @Infosys.
